,Track Name,Artist Name,Album,Album Release Date,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature,Artist Popularity,Track Popularity,Track URI,Artist URI
3947,Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),Pras,Ghetto Supastar,1998-10-03,new jersey rap,0.818,0.653,1,-8.396,1,0.204,0.0335,5.46e-06,0.22,0.533,99.931,261133,4,62,68,spotify:track:31bf9SEOppLU6lQ85d8om6,spotify:artist:0kJMPTXq7h3ztpDukSx5iD
3948,I Will Always Love You - Film Version,Whitney Houston,I Wish You Love: More From The Bodyguard,2017-11-17,"dance pop, pop",0.343,0.281,4,-9.534,1,0.0368,0.605,0.000296,0.0951,0.121,133.454,274693,4,76,50,spotify:track:6XQz4HwNIQZ652JFa7putY,spotify:artist:6XpaIBNiVzIetEPCWDvAFP
3949,Genie In a Bottle,Christina Aguilera,Christina Aguilera (Expanded Edition),1999,"dance pop, pop",0.633,0.8,1,-6.945,1,0.166,0.209,0.000123,0.137,0.913,175.716,217573,4,78,79,spotify:track:11mwFrKvLXCbcVGNxffGyP,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS
3950,You,La Cream,La Cream,2003-01-01,"bubblegum dance, eurodance",0.593,0.955,8,-8.367,1,0.0322,2.15e-05,0.661,0.31,0.355,138.978,187667,4,37,0,spotify:track:2x7eD4StqS1n9XTBJDOn7A,spotify:artist:1042GWtxzEb5XrVoUJkiXc
3951,Rhythm Of Love - Original Radio Edit,DJ Sequenza,Rhythm Of Love,2010-04-12,hands up,0.565,0.966,11,-5.038,1,0.0337,0.00226,0.00653,0.285,0.716,141.967,181708,4,42,50,spotify:track:7jGrEtwlejqbmRB5La3Abp,spotify:artist:5aS5b54NtRuGHbNol5aSCX
3952,Fly High,Me & My,Fly High,2001-04-27,"bubblegum dance, eurodance",0.49,0.808,3,-11.702,0,0.036,0.126,0.405,0.185,0.612,138.028,272000,4,39,45,spotify:track:29WTMnk0vsnapB0FaLDfGM,spotify:artist:4FD9joiv6N5yWEnxxbyC59
3953,This Is How We Do It,Solid Base,Express,1999-01-01,"bubblegum dance, eurodance",0.785,0.99,3,-3.527,1,0.0317,0.00313,0.0012,0.0863,0.97,137.999,208280,4,41,0,spotify:track:6iajdl7s0qG1pEad7UmHXc,spotify:artist:1afQ9YSQTLShjBcV06fq6n
3954,Show me colours,Masterboy,Colours,2005-01-15,eurodance,0.632,0.947,11,-6.954,1,0.0438,0.0745,5.16e-05,0.343,0.925,138.004,269360,4,50,50,spotify:track:6xRRr4W5VQiQZOVhXzqtIr,spotify:artist:76JYFj8E2jcib0XIrnWR6E
3955,Naked In The Rain,Infinity,Naked In The Rain,2001-10-19,bubblegum dance,0.615,0.95,0,-4.975,0,0.0493,0.162,6.36e-06,0.179,0.799,136.999,225489,4,31,0,spotify:track:3OFVoENTL568o9fUY4nqEf,spotify:artist:36lZDK8ErKYN9kOiRjUV61
3956,Bla Bla Bla,Gigi D'Agostino,Ultimate Workout Volume 1: Electronic & Dance,2008-02-26,"eurodance, italo dance",0.816,0.838,11,-8.349,1,0.0823,0.0895,0.481,0.0616,0.964,132.964,255520,4,69,0,spotify:track:5YuJhe1jfUYb8b3jf2IZM0,spotify:artist:1OAjDaKgg00KCUYqDe68un
3957,Popcorn - Radio Version,Richi M.,Songs Of Tomorrow,2000-06-06,,0.816,1.0,7,-5.739,0,0.0644,0.03,0.852,0.36,0.542,137.974,214867,4,31,42,spotify:track:1iT9oqeZGYOnspkV4AiIoJ,spotify:artist:2ebMpthf4U0DaF5G82G92b
3958,Get Me - Radio Edit,Reset,Get Me,1999-08-04,bubblegum dance,0.664,0.93,7,-4.396,1,0.0341,0.027,0.00196,0.232,0.854,145.383,212893,4,29,38,spotify:track:2lhePSRtoReJhFw7UaFyto,spotify:artist:14qHyPHkysC85Xs9ctPhHg
3959,U Drive Me Crazy,Waldo's People,Waldo's People,1998-05-05,bubblegum dance,0.641,0.999,5,-6.396,0,0.0433,0.000618,0.553,0.234,0.305,134.983,197600,4,34,43,spotify:track:4i7ezXO3G9DwE7LRmuYdfP,spotify:artist:4Ud558Fulcd3W93W1R00MF
3960,Sex On The Phone,E-Rotic,Sex Affairs,1995,"eurodance, german techno",0.59,0.994,8,-8.355,1,0.0724,0.138,0.519,0.0989,0.309,150.066,236907,4,49,42,spotify:track:3hwkIWW3wJeVBBY3MJJauf,spotify:artist:59jv1JLa4XNxXg7uxd04Nu
3961,We’re Going to Ibiza!,Vengaboys,We're Going to Ibiza!,1998,"bubblegum dance, eurodance, europop",0.786,0.876,1,-4.899,1,0.0362,0.0114,0.000784,0.0796,0.966,103.983,217539,4,63,0,spotify:track:3WWxgARaLzJ8cILPCVPyR6,spotify:artist:0cwmNvclzPd8mQnoHuIksj
3962,Superhero,Daze,Super Heroes,1997,"bubblegum dance, eurodance",0.567,0.983,5,-5.01,0,0.0427,0.0081,1.21e-05,0.107,0.717,135.041,204733,4,38,52,spotify:track:5w24xZUicD68LjnZvtougC,spotify:artist:0EyQK4yQkyCubak3DZydiV
3963,Yli susta,costee,Ehkä joskus tää viel naurattaa,2019-05-24,"finnish dance pop, finnish hip hop, finnish pop",0.673,0.697,2,-6.556,0,0.0459,0.0559,7.94e-05,0.218,0.162,79.993,227973,4,47,41,spotify:track:5ziFrKah9YWqKvl7HE2HDO,spotify:artist:3I4GcOB25cSJHa9d7Bsgji
3964,Sinä 4ever,Ellinoora,Vaaleanpunainen vallankumous,2019-08-30,"finnish dance pop, finnish pop, iskelma",0.59,0.478,7,-8.617,1,0.0329,0.197,0.0,0.393,0.114,115.889,255064,3,50,35,spotify:track:1UgaTLUPYlIFlEsvhzsoLL,spotify:artist:3c9CUpHeB5BCQOHp8uiPzY
3965,Tuntematon,Haloo Helsinki!,Tuntematon,2017-09-15,"finnish dance pop, finnish pop, suomi rock",0.62,0.668,1,-7.313,1,0.0319,0.0139,1.42e-05,0.29,0.372,120.006,269057,4,51,36,spotify:track:54ulOTUIZA4suH69uQCwdZ,spotify:artist:0JTMRuiDzOCjWuYtWMgv2s
3966,Parvekkeella,Ida Paul & Kalle Lindroth,Nää kaikki kertoo susta,2018-03-09,"finnish dance pop, finnish pop",0.675,0.7,1,-5.506,0,0.0403,0.152,7.67e-06,0.276,0.5,90.404,210699,4,40,37,spotify:track:6jJxjnjvDrFIFOv0LD899Q,spotify:artist:1pbX4qbCZOyiRA0ih5jGfX
3967,Teen Mitä Haluun,Spekti,Diktaattorimies,2013-01-01,"finnish dance pop, finnish hip hop",0.695,0.894,8,-4.824,1,0.138,0.0545,0.0,0.144,0.615,112.023,225720,4,45,25,spotify:track:1NX7hSZNkm9CvE1jpXpRTs,spotify:artist:05qPtpcSltJZLI9sj0qm3B
3968,The Good Life,Hannah Montana,Hannah Montana The Movie,2009-01-01,"pop, post-teen pop",0.483,0.877,7,-5.258,1,0.0824,1.78e-05,8.51e-05,0.118,0.503,156.915,179507,4,62,17,spotify:track:1yubwFn0QIa7Eb5Y5x9CQD,spotify:artist:7nU4hB040gTmHm45YYMvqc
3969,Offline (feat. Ollie),Arttu Lindeman,OFFLINE,2017-09-29,"finnish dance pop, finnish hip hop, finnish pop",0.663,0.624,0,-6.732,1,0.139,0.579,0.0,0.18,0.362,91.969,209293,4,28,15,spotify:track:0LuTkQwYHneCPSt1vFMp7L,spotify:artist:0AK0qOs8ykb6CsaYks1xwK
3970,Hei Scully,Kuningas Pähkinä & Setä Tamu,Hei Scully,2012-12-19,"finnish dance pop, finnish hip hop",0.736,0.67,4,-5.683,0,0.097,0.00612,0.0,0.105,0.347,103.068,175816,4,34,42,spotify:track:68ryrTDYtIOL1izZF4jydg,spotify:artist:5eDDKdMzwO9fODuj6lUEaG
3971,Turvallista sotaa,Vesta,Lohtulauseita,2018-03-23,"finnish indie, finnish pop, suomi rock",0.608,0.811,11,-6.648,0,0.121,0.00277,0.0107,0.105,0.0364,179.966,239507,4,39,39,spotify:track:4b2Va2IKYugIdfuw6LnsDr,spotify:artist:0KzoK9bz1M6R9cDBLAOF4q
3972,Lambada,Sini Sabotage,22m²,2013-12-05,"finnish dance pop, finnish hip hop, finnish pop",0.787,0.888,1,-3.633,0,0.151,0.137,0.0,0.058,0.836,127.953,216440,4,39,27,spotify:track:2WzEojGMDg3s7czWtbzlxK,spotify:artist:6zOyQHK37vQX62CFowxvWc
3973,Doupein (feat. Pete Parkkonen),Bang For The Buck,Doupein (feat. Pete Parkkonen),2016-05-20,finnish dance pop,0.826,0.803,5,-4.578,0,0.0452,0.0292,4.38e-06,0.166,0.457,124.949,195119,4,16,29,spotify:track:3OVlMO6LGxCbJtnCDfzUVL,spotify:artist:3qmP0i2etD96nI7pgl8y6S
3974,Parasta just nyt,Robin Packalen,16 (Deluxe),2014-01-01,"finnish dance pop, finnish pop",0.657,0.927,9,-4.651,0,0.0943,0.0172,0.0,0.116,0.587,145.027,214200,4,50,37,spotify:track:5owfAfOEAfyIhHS2pDDViZ,spotify:artist:4Q4b4S784htx6DtxcMUfMO
3975,Alpha Omega,Cheek,Alpha Omega,2015-10-16,"finnish dance pop, finnish hip hop, finnish pop",0.636,0.801,2,-3.169,0,0.103,0.247,0.0,0.194,0.574,84.978,259160,4,54,41,spotify:track:3i0GuKWwredFUMqlRcl50s,spotify:artist:5ZZqIQ25HQmufjjf2trwFO
3976,Ylöspäin,TIPPA,White,2015-06-17,"finnish dance pop, finnish hip hop, finnish trap",0.813,0.729,8,-4.804,1,0.0755,0.304,0.0,0.207,0.757,98.004,209572,4,41,19,spotify:track:4lHX8Yji8Kr4xTDQR56lsL,spotify:artist:0kWknKjD7r2hNh8KntEx59
3977,Ei Mitään Jiitä,Adi L Hasla,Pieni Punainen Kana,2017-11-01,"finnish dance pop, finnish hip hop",0.806,0.75,5,-5.838,0,0.0682,0.251,0.0,0.209,0.484,127.909,180693,4,36,30,spotify:track:4FozD429dpnVHMumi84Fnm,spotify:artist:2Hnqmn6bAxVSYf70M2aSkk
3978,"Me ollaan ne Pt. 2 (feat. Nikke Ankara, Elastinen, JVG, Kube & Pete Parkkonen)",Cheek,Timantit on ikuisia,2018-08-17,"finnish dance pop, finnish hip hop, finnish pop",0.647,0.894,9,-3.489,0,0.154,0.0892,0.0,0.265,0.599,148.008,272733,4,54,19,spotify:track:7BhEUFbx2UDOXMoHihXBqb,spotify:artist:5ZZqIQ25HQmufjjf2trwFO
3979,Gas Pedal - Remix,Sage The Gemini,Remember Me,2014-03-25,"hyphy, pop rap, southern hip hop, trap",0.799,0.568,1,-7.539,1,0.0574,0.179,0.0,0.112,0.547,97.503,279867,4,62,48,spotify:track:0YlmsOyEK9GL5In154LkID,spotify:artist:6d47Z08T4snK50HgTEHo5Z
3980,Heaven,DJ Sammy,Heaven,2002-08-06,eurodance,0.565,0.942,8,-6.821,1,0.0518,0.00107,0.000406,0.152,0.568,137.973,235000,4,53,62,spotify:track:0KT6DLAELYSbgfUemzwGPX,spotify:artist:4z4m1P0iX2nRSPDBEZ8LBT
3981,Seuraavassa elämässä,Kaija Koo,Tuulikello,1995-05-03,"classic iskelma, finnish pop, iskelma, suomi rock",0.69,0.682,2,-6.121,1,0.0312,0.315,0.0,0.365,0.856,122.006,226000,4,46,33,spotify:track:31ILxXyayIv5G9sqDHM706,spotify:artist:60UkyJpgRSEUtcVTasRFEq
3982,Eka tääl,costee,Ehkä joskus tää viel naurattaa,2019-05-24,"finnish dance pop, finnish hip hop, finnish pop",0.539,0.74,11,-7.136,1,0.0611,0.0385,5.3e-05,0.129,0.418,76.965,212253,4,47,30,spotify:track:5kyr2UW9JIW04f6B9GK6RB,spotify:artist:3I4GcOB25cSJHa9d7Bsgji
3983,On elämä laina,Erin,Hunningolla,2011-05-16,"finnish dance pop, finnish pop, iskelma, suomi rock",0.656,0.595,11,-7.986,1,0.0278,0.205,0.000431,0.345,0.403,114.972,247360,4,40,44,spotify:track:3tsK9bFAYqInXqYa7JKFm8,spotify:artist:5H34mYQz0gLcqPWIOTyDaJ
3984,Mehu,TIPPA,Nuari kukko,2014-08-08,"finnish dance pop, finnish hip hop, finnish trap",0.794,0.791,5,-4.747,0,0.171,0.0826,0.0,0.0646,0.829,94.999,194267,4,41,39,spotify:track:3CqvR4Xj5OtUFPKxJBKRZe,spotify:artist:0kWknKjD7r2hNh8KntEx59
3985,Kalenteris tyhjää,Mäkki,Ihan pomona,2015-02-16,"finnish dance pop, finnish hip hop",0.73,0.72,10,-5.532,0,0.273,0.385,0.0,0.107,0.849,174.046,204293,4,42,0,spotify:track:5azeKJFH9P7qL3ybjTWjNp,spotify:artist:2510ceejHZpIpxbGpiovch
3986,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,What Is Love? (Deluxe Edition),2018-11-30,"pop, uk dance, uk funky",0.717,0.73,9,-4.729,0,0.0568,0.383,0.0,0.398,0.792,102.002,251173,4,74,78,spotify:track:2hrUO4drrO63i7FYbCLBl2,spotify:artist:6MDME20pz9RveH9rEXvrOM
3987,Why I'm Single,Alli Simpson,Why I'm Single,2013-06-11,teen pop,0.638,0.742,2,-4.448,0,0.0335,0.0171,5.89e-06,0.0416,0.235,148.012,186966,4,23,25,spotify:track:1DTWzNb3GDJuORg9ciXmA8,spotify:artist:6DbCf2VwMMPCNpmKEn2BJo
3988,Kuka sen opettaa,Kaija Koo,Kuka sen opettaa,2014-04-11,"classic iskelma, finnish pop, iskelma, suomi rock",0.621,0.652,0,-5.953,0,0.0278,0.0271,0.0,0.21,0.571,110.007,259893,4,46,36,spotify:track:5lS3YfPqUwl2N88yEF2eX3,spotify:artist:60UkyJpgRSEUtcVTasRFEq
3989,Take A Picture,Carly Rae Jepsen,Take A Picture,2013-01-01,"canadian pop, dance pop, pop",0.716,0.688,1,-5.621,0,0.0711,0.00139,0.00291,0.119,0.746,120.021,204933,4,72,26,spotify:track:3cGFEZvzegmI9B7yZMCzq5,spotify:artist:6sFIWsNpZYqfjUpaCgueju
3990,Jallutyttö,Pää-äijät,Jallutyttö,2016-04-03,"finnish dance pop, finnish hip hop",0.786,0.878,7,-4.203,1,0.174,0.229,1.48e-06,0.271,0.693,108.147,171737,4,23,37,spotify:track:0izOCTLoxMw3riMdNkXF3I,spotify:artist:23VQ324HqUZS6gcasLszUe
3991,Kohta sataa,Pete Parkkonen,TOP 10,2018-08-17,"finnish dance pop, finnish pop, suomi rock",0.648,0.693,11,-7.018,0,0.114,0.067,0.00401,0.324,0.2,114.106,223960,4,38,28,spotify:track:1iEStRoSlkqAhjo2yQmrch,spotify:artist:7zX44fpv6srJt3HfBv0GCn
3992,Veitset,Ellinoora,Vaaleanpunainen vallankumous,2019-08-30,"finnish dance pop, finnish pop, iskelma",0.547,0.344,0,-10.64,1,0.0337,0.642,0.0,0.101,0.175,78.42,214563,4,50,37,spotify:track:0YrBSvLBKo2YXbvzSVmij7,spotify:artist:3c9CUpHeB5BCQOHp8uiPzY
3993,Judas - DJ White Shadow Remix,Lady Gaga,Born This Way (International Special Edition Version),2011-05-23,"art pop, dance pop, pop",0.78,0.473,1,-7.818,1,0.0385,0.00203,0.422,0.0959,0.213,130.998,247480,4,85,34,spotify:track:0bWfxPhxOepDV01eMECRYl,spotify:artist:1HY2Jd0NmPuamShAr6KMms
3994,Who Needs Love,Trippie Redd,A Love Letter To You 4,2019-11-22,"melodic rap, rap, trap",0.85,0.516,0,-7.664,0,0.0714,0.763,0.0,0.0896,0.874,108.963,158532,4,82,24,spotify:track:2ktxr00GpTtbMNeBjNeY8D,spotify:artist:6Xgp2XMz1fhVYe7i6yNAax
3995,Bury Me,View,Bury Me,2019-11-15,finnish trap,0.581,0.577,10,-7.8,1,0.0374,0.0361,4.81e-05,0.246,0.15,89.517,201536,4,17,13,spotify:track:03j7YmO2dZ8nEY5N5131hz,spotify:artist:62tC2LQ4dKzNEIAUFFuHmo
3996,fOoL fOr YoU,ZAYN,Mind Of Mine (Deluxe Edition),2016-03-25,"pop, uk pop",0.52,0.513,7,-7.208,1,0.0256,0.281,0.0,0.0976,0.17,77.903,202213,4,76,64,spotify:track:6lvsJDZ7336YmpBzcNGhbe,spotify:artist:5ZsFI1h6hIdQRw2ti0hz81
3997,everything i wanted,Billie Eilish,everything i wanted,2019-11-13,"art pop, pop",0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,4,89,83,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH
3998,Memories,Maroon 5,Memories,2019-09-20,pop,0.764,0.32,11,-7.209,1,0.0546,0.837,0.0,0.0822,0.575,91.019,189486,4,85,28,spotify:track:2b8fOow8UzyDFAE27YhOZM,spotify:artist:04gDigrS5kc9YWfZHwBETP
3999,Don't Start Now,Dua Lipa,Don't Start Now,2019-10-31,"dance pop, pop, uk pop",0.794,0.793,11,-4.521,0,0.0842,0.0125,0.0,0.0952,0.677,123.941,183290,4,88,75,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,spotify:artist:6M2wZ9GZgrQXHCFfjv46we
4000,Lose You To Love Me,Selena Gomez,Lose You To Love Me,2019-10-23,"pop, post-teen pop",0.505,0.34,4,-9.005,1,0.0438,0.576,0.0,0.21,0.0916,101.993,206459,4,82,25,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx
4001,Someone You Loved,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,"pop, uk pop",0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,109.891,182161,4,81,89,spotify:track:7qEHsqek33rTcFNT9PFqLf,spotify:artist:4GNC7GD6oZMSxPGyXy4MNB
4002,RITMO (Bad Boys For Life),Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,"dance pop, pop, pop rap",0.721,0.716,10,-7.037,0,0.0657,0.0334,0.00084,0.237,0.667,104.994,221714,4,80,71,spotify:track:6cy3ki60hLwimwIje7tALf,spotify:artist:1yxSLGMDHlW21z4YXirZDS
4003,Watermelon Sugar,Harry Styles,Watermelon Sugar,2019-11-17,pop,0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,95.39,174000,4,85,1,spotify:track:1e9oZCCiX42nJl0AcqriVo,spotify:artist:6KImCVD70vtIoJWnq6nGn3
4004,Masokisti,ABREU,Teipillä tai rakkaudella,2019-11-15,"finnish dance pop, finnish hip hop, finnish pop",0.569,0.433,10,-6.789,0,0.0269,0.603,0.0,0.127,0.434,75.006,220019,1,45,25,spotify:track:0p7yk4d3vhN0RmmQenDa4x,spotify:artist:5kOwMqoAYEX24YgxEZP6K7
4005,Teipillä tai rakkaudella,ABREU,Teipillä tai rakkaudella,2019-11-15,"finnish dance pop, finnish hip hop, finnish pop",0.692,0.571,7,-6.099,0,0.077,0.0492,0.0,0.121,0.437,90.008,195562,4,45,44,spotify:track:2vdsyiA0RcYs3C9VMnmYac,spotify:artist:5kOwMqoAYEX24YgxEZP6K7
4006,ICY GRL,Saweetie,High Maintenance,2018-03-16,"cali rap, trap queen",0.927,0.563,7,-5.827,1,0.175,0.0306,0.0,0.0736,0.842,103.312,109302,4,70,63,spotify:track:1sl1cpix9GnwNwaVt04BIu,spotify:artist:6cK3NBO6uP7hh0oyuVELFl
4007,Torn,Ava Max,Torn,2019-08-19,pop,0.664,0.831,2,-4.472,0,0.0436,0.111,1.42e-06,0.0596,0.696,125.058,198006,4,80,0,spotify:track:2GdxQw8NwoeH8tKySg6nym,spotify:artist:4npEfmQ6YuiwW1GpUmaq3F
4008,Trendsetter,24kGoldn,Trendsetter,2018-01-04,"cali rap, pop rap",0.74,0.583,7,-13.214,0,0.269,0.11,0.0,0.334,0.701,79.497,259709,4,71,0,spotify:track:5UWhqnZYmKJae4P8CZFq6B,spotify:artist:6fWVd57NKTalqvmjRd2t8Z
4009,Immortal,21 Savage,Immortal,2019-10-31,"atl hip hop, hip hop, rap",0.741,0.87,6,-3.494,0,0.503,0.00813,0.0,0.114,0.663,184.194,254723,4,91,72,spotify:track:4IO8X9W69dIQe0EC5ALXhq,spotify:artist:1URnnhqYAYcrqrcwql10ft
4010,BOP,DaBaby,KIRK,2019-09-27,"hip hop, north carolina hip hop, pop rap, rap, trap",0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4,79,76,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,spotify:artist:4r63FhuTkUYltbVAg5TQnk
4011,Suge,DaBaby,Baby On Baby,2019-03-01,"hip hop, north carolina hip hop, pop rap, rap, trap",0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,163320,4,79,68,spotify:track:2gwkD6igEhQbDQegRCcdoB,spotify:artist:4r63FhuTkUYltbVAg5TQnk
4012,Ballin' (with Roddy Ricch),Mustard,Perfect Ten,2019-06-28,"cali rap, pop rap, rap, southern hip hop, trap",0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4,71,76,spotify:track:3QzAOrNlsabgbMwlZt7TAY,spotify:artist:0YinUQ50QDB7ZxSCLyQ40k
4013,Yellow Hearts,Ant Saunders,Yellow Hearts,2019-06-18,chill r&b,0.866,0.399,7,-10.938,1,0.0745,0.117,0.0,0.0689,0.713,129.047,223256,4,46,0,spotify:track:20JtELGPfOAMq7FpUt8eSM,spotify:artist:4jpsw9CQS439N0B7SecMgf
4014,Camelot,NLE Choppa,Camelot,2019-09-13,"memphis hip hop, rap",0.787,0.713,7,-5.252,1,0.401,0.0849,0.0,0.717,0.761,175.046,148759,4,79,62,spotify:track:4sWuPniHClkInYAnzXAYUF,spotify:artist:0ErzCpIMyLcjPiwT4elrtZ
4015,Follow God,Kanye West,JESUS IS KING,2019-10-25,"chicago rap, hip hop, rap",0.529,0.9,1,-3.503,1,0.418,0.000248,1.21e-05,0.0426,0.434,180.291,104591,4,94,75,spotify:track:2QpGZOhTCHHiKmpSO9FW4h,spotify:artist:5K4W6rqBFWDnAN6FQUkS6x
4016,Bandit (with YoungBoy Never Broke Again),Juice WRLD,Bandit (with YoungBoy Never Broke Again),2019-10-04,"chicago rap, melodic rap, rap",0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,189323,4,87,69,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,spotify:artist:4MCBfE4596Uoi2O4DtmEMz
4017,ROXANNE,Arizona Zervas,ROXANNE,2019-10-10,"indie pop rap, pop rap, rhode island rap",0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,163636,5,63,0,spotify:track:1ZPWWSwCkxKfqdp4H0RFCo,spotify:artist:0vRvGUQVUjytro0xpb26bs
4018,Writing on the Wall (feat. Post Malone & Cardi B),French Montana,Writing on the Wall (feat. Post Malone & Cardi B),2019-09-27,"hip hop, pop rap, rap, southern hip hop, trap",0.773,0.836,9,-2.326,0,0.153,0.283,2.1e-05,0.0828,0.497,112.01,201271,4,76,54,spotify:track:7x9nXsowok1JszkVztI5NI,spotify:artist:6vXTefBL93Dj5IqAWq6OTv
4019,Nice To Meet Ya,Niall Horan,Nice To Meet Ya,2019-10-04,pop,0.591,0.841,4,-4.351,0,0.0304,0.0119,0.0,0.395,0.392,109.034,158805,4,77,62,spotify:track:3cphb8kdsjElYR7r5icK3H,spotify:artist:1Hsdzj7Dlq2I7tHP7501T4
4020,Hei rakas,BEHM,Hei rakas,2019-09-20,"finnish dance pop, finnish pop",0.68,0.411,11,-10.319,0,0.0282,0.43,1.52e-06,0.135,0.251,115.024,211671,4,56,44,spotify:track:0tc8HGXosQDC8TTAaON1TP,spotify:artist:3bAa4FKwIgwWYHdaUJicmE
4021,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Post Malone,Hollywood's Bleeding,2019-09-06,"dfw rap, melodic rap, pop, rap",0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,4,88,76,spotify:track:7CZyCXKG6d5ALeq41sLzbw,spotify:artist:246dkjvS1zLTtiykXe5h60
4022,Starboy,Sexmane,Sextape,2019-10-17,finnish hip hop,0.677,0.608,5,-7.018,1,0.0892,0.445,0.0,0.129,0.379,145.009,123298,4,54,34,spotify:track:4bEkPmsClXX6I7iawkhvqa,spotify:artist:2JSX0lIYekUp6F301cTHkq
4023,I Wanna Rock (feat. Gunna),G-Eazy,I Wanna Rock (feat. Gunna),2019-10-15,"indie pop rap, oakland hip hop, pop rap, rap",0.772,0.847,10,-3.789,0,0.0929,0.00718,0.0,0.156,0.704,100.013,163390,4,78,41,spotify:track:3xB5uHrhe0uaIxNGf3JwZA,spotify:artist:02kJSzxNuaWGqwubyUba0Z
4024,hot girl bummer,blackbear,hot girl bummer,2019-08-23,pop,0.778,0.559,6,-7.109,0,0.0776,0.128,0.0,0.399,0.678,129.989,185093,1,74,4,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,spotify:artist:2cFrymmkijnjDg9SS92EPM
4025,SILTI,NCO,SILTI,2019-08-02,"finnish hip hop, finnish trap",0.913,0.451,0,-10.753,1,0.374,0.601,2e-05,0.0866,0.883,99.999,138337,4,29,0,spotify:track:1Jv1qGotTOI1BajqomZffi,spotify:artist:3HULha4gmb5YjZHWODEXu1
4026,Veitola,NCO,Veitola,2019-08-28,"finnish hip hop, finnish trap",0.685,0.456,11,-10.52,0,0.234,0.414,0.00265,0.114,0.53,161.965,169134,4,29,0,spotify:track:1WBUsmvMCeL2Abzig4SQpy,spotify:artist:3HULha4gmb5YjZHWODEXu1
4027,Sweettalk my Heart,Tove Lo,Sunshine Kitty,2019-09-20,"dance pop, metropopolis, pop, swedish electropop, swedish pop, swedish synthpop",0.79,0.684,6,-4.372,1,0.0525,0.0825,0.0,0.106,0.236,110.984,179831,4,73,46,spotify:track:4Cgedth1L3nBdVLU5Z42m1,spotify:artist:4NHQUGzhtTLFvgF5SZesLK
4028,Lights Up,Harry Styles,Lights Up,2019-10-11,pop,0.585,0.62,3,-8.09,0,0.0327,0.0426,0.00224,0.15,0.281,101.939,172227,4,85,0,spotify:track:2plLJpUcYPFrl1sW2pMG63,spotify:artist:6KImCVD70vtIoJWnq6nGn3
4029,What Dreams Are Made Of,Trisha Paytas,What Dreams Are Made Of,2019-05-29,,0.735,0.795,1,-6.107,0,0.0894,0.13,0.0,0.546,0.714,132.007,229118,4,37,32,spotify:track:27xThO09Pfz9qcgsH3c7Of,spotify:artist:5XfBH1AT964RDzmE8MZURI
4030,Poikien vessa (feat. costee),Mouhous,Poikien vessa (feat. costee),2019-12-06,"finnish dance pop, finnish hip hop",0.674,0.788,0,-4.48,1,0.0505,0.0343,0.0,0.168,0.545,132.031,208297,4,38,26,spotify:track:117kHl2LRJ30z29lzeMD99,spotify:artist:4uXWoMQ5N4kmQdBW3nFW4i
4031,Lonely,Noah Cyrus,Lonely,2019-09-27,"alt z, pop",0.594,0.26,5,-9.062,1,0.0601,0.779,0.0,0.0924,0.303,84.648,144387,3,73,0,spotify:track:3Lp8Xd2K7TwlY32SPvXkvF,spotify:artist:55fhWPvDiMpLnE4ZzNXZyW
4032,you were good to me,Jeremy Zucker,brent,2019-05-03,"alt z, electropop, pop",0.561,0.0848,2,-15.099,1,0.0404,0.913,2.62e-05,0.112,0.206,102.128,219147,4,68,72,spotify:track:4CxFN5zON70B3VOPBYbd6P,spotify:artist:3gIRvgZssIb9aiirIg0nI3
